,message,timestamp,username,m_length,datetime
1,"
@akshit has joined the channel
 
",06/21/2019 4:58 p.m.,akshit,34,2019-06-21 16:58:00
2,"
@aleksandra.mozejko has joined the channel
",06/21/2019 5:07 p.m.,aleksandra.mozejko,44,2019-06-21 17:07:00
3,"
@161210032 has joined the channel
 
@161210032 set the channel topic: Posting your daily report of your project
 
@akshit if you can make all the memebers admin for a channel we can directly post out git commits in that channel through slack bot , I suppose you will look into this as we have #60daysofudacity
",06/21/2019 5:09 p.m.,161210032,311,2019-06-21 17:09:00
4,"
@ziad.esam.ezat has joined the channel
 
@161210032 Isn't there a way we can post git commits through slack bot without us being channel admins?
 
That's a good idea but if channel admins can delete the channel it'd be rather risky.
",06/21/2019 5:26 p.m.,ziad.esam.ezat,234,2019-06-21 17:26:00
5,"
@ziad.esam.ezat No , i didn't find a way . if @akshit can help in finding a automated way , it would be really helpful .
",06/21/2019 5:40 p.m.,161210032,122,2019-06-21 17:40:00
6,"
@rekha.chandrasekaran2 has joined the channel
",06/21/2019 5:44 p.m.,rekha.chandrasekaran2,47,2019-06-21 17:44:00
7,"
@aleksandra.mozejko has joined the channel
",06/21/2019 5:49 p.m.,aleksandra.mozejko,44,2019-06-21 17:49:00
8,"
@abhinav.raj116 has joined the channel
 
This is my first time to be a part of udacity. Can someone explain me what is 60 days of udacity?
",06/21/2019 6:23 p.m.,abhinav.raj116,140,2019-06-21 18:23:00
9,"
@rupeshpurum has joined the channel
",06/21/2019 6:47 p.m.,rupeshpurum,37,2019-06-21 18:47:00
10,"
@amatseshe has joined the channel
 
I'm excited for 60 days of Udacity
",06/21/2019 6:53 p.m.,amatseshe,72,2019-06-21 18:53:00
11,"
@smogal95 has joined the channel
",06/21/2019 7:44 p.m.,smogal95,34,2019-06-21 19:44:00
12,"
@garg4.ag has joined the channel
",06/21/2019 7:56 p.m.,garg4.ag,34,2019-06-21 19:56:00
13,"
@ishgirwan has joined the channel
",06/21/2019 7:58 p.m.,ishgirwan,35,2019-06-21 19:58:00
14,"
@mmaaz0786 has joined the channel
",06/21/2019 8:01 p.m.,mmaaz0786,35,2019-06-21 20:01:00
15,"
@rajput.gaurav8341 has joined the channel
",06/21/2019 11:11 p.m.,rajput.gaurav8341,43,2019-06-21 23:11:00
16,"
@labknr98 has joined the channel
",06/21/2019 11:48 p.m.,labknr98,34,2019-06-21 23:48:00
17,"
@ferdib.bsmrstu has joined the channel
",06/22/2019 1:13 a.m.,ferdib.bsmrstu,40,2019-06-22 01:13:00
18,"
@lspironello has joined the channel
",06/22/2019 1:28 a.m.,lspironello,37,2019-06-22 01:28:00
19,"
@sridhar_ethiraj has joined the channel
",06/22/2019 1:28 a.m.,sridhar_ethiraj,41,2019-06-22 01:28:00
20,"
@adi.kul30 has joined the channel
",06/22/2019 1:28 a.m.,adi.kul30,35,2019-06-22 01:28:00
21,"
@ewotawa has joined the channel
",06/22/2019 1:28 a.m.,ewotawa,33,2019-06-22 01:28:00
22,"
@jessie_lee_dn has joined the channel
",06/22/2019 1:28 a.m.,jessie_lee_dn,39,2019-06-22 01:28:00
23,"
Hello world!
",06/22/2019 1:29 a.m.,ewotawa,14,2019-06-22 01:29:00
24,"
@mhmohona has joined the channel
",06/22/2019 1:34 a.m.,mhmohona,34,2019-06-22 01:34:00
25,"
@sajjadmanal24 has joined the channel
",06/22/2019 1:34 a.m.,sajjadmanal24,39,2019-06-22 01:34:00
26,"
Super excited for 60daysOfUdacity
",06/22/2019 1:34 a.m.,harivamsiyadavalli,35,2019-06-22 01:34:00
27,"
Excited to be the part of this
 
Can someone share bit more details on 60daysOfUdacity in terms of what we need to do in this
",06/22/2019 1:36 a.m.,seeratpal91,127,2019-06-22 01:36:00
28,"
The details haven't been announced yet . 
",06/22/2019 1:41 a.m.,sfmajors373,43,2019-06-22 01:41:00
29,"
Hello beautiful world
",06/22/2019 1:49 a.m.,hugo.amaro,23,2019-06-22 01:49:00
30,"
@dharmaraj.techie has joined the channel
",06/22/2019 1:52 a.m.,dharmaraj.techie,42,2019-06-22 01:52:00
31,"
@deepak.sharma.it.1992 has joined the channel
",06/22/2019 1:52 a.m.,deepak.sharma.it.1992,47,2019-06-22 01:52:00
